user_id,fund_id,quantity,trade_date
A1B2C3D4E5,765432,49,2023-10-01
A1B2C3D4E5,456789,79,2023-10-02
A1B2C3D4E5,765432,55,2023-10-03
A1B2C3D4E5,456789,72,2023-10-05
A1B2C3D4E5,123456,25,2023-10-06
A1B2C3D4E5,123456,89,2023-10-07
A1B2C3D4E5,456789,76,2023-10-08
A1B2C3D4E5,123456,22,2023-10-09
A1B2C3D4E5,987654,61,2023-10-10
A1B2C3D4E5,123456,68,2023-10-11
A1B2C3D4E5,123456,38,2023-10-12
A1B2C3D4E5,123456,11,2023-10-14
A1B2C3D4E5,987654,87,2023-10-15
A1B2C3D4E5,765432,42,2023-10-16
A1B2C3D4E5,987654,62,2023-10-17
A1B2C3D4E5,765432,37,2023-10-18
A1B2C3D4E5,765432,35,2023-10-20
A1B2C3D4E5,765432,70,2023-10-21
A1B2C3D4E5,987654,70,2023-10-22
A1B2C3D4E5,987654,91,2023-10-23
A1B2C3D4E5,987654,55,2023-10-24
A1B2C3D4E5,456789,61,2023-10-26
A1B2C3D4E5,987654,37,2023-10-27
A1B2C3D4E5,987654,53,2023-10-28
A1B2C3D4E5,123456,86,2023-10-29
A1B2C3D4E5,765432,11,2023-10-30
A1B2C3D4E5,456789,62,2023-10-31
A1B2C3D4E5,456789,68,2023-11-01
A1B2C3D4E5,456789,52,2023-11-06
A1B2C3D4E5,765432,51,2023-11-08
A1B2C3D4E5,456789,18,2023-11-10
A1B2C3D4E5,456789,89,2023-11-11
A1B2C3D4E5,456789,68,2023-11-12
A1B2C3D4E5,765432,49,2023-11-13
A1B2C3D4E5,456789,58,2023-11-14
A1B2C3D4E5,987654,61,2023-11-15
A1B2C3D4E5,456789,32,2023-11-16
A1B2C3D4E5,123456,34,2023-11-18
A1B2C3D4E5,123456,14,2023-11-20
A1B2C3D4E5,123456,47,2023-11-21
A1B2C3D4E5,765432,20,2023-11-23
A1B2C3D4E5,123456,42,2023-11-24
A1B2C3D4E5,123456,12,2023-11-25
A1B2C3D4E5,987654,17,2023-11-26
A1B2C3D4E5,123456,34,2023-11-28
A1B2C3D4E5,456789,67,2023-11-29
A1B2C3D4E5,765432,66,2023-11-30
A1B2C3D4E5,987654,57,2023-12-02
A1B2C3D4E5,123456,55,2023-12-03
A1B2C3D4E5,123456,27,2023-12-04
A1B2C3D4E5,987654,68,2023-12-05
A1B2C3D4E5,456789,79,2023-12-07
A1B2C3D4E5,456789,11,2023-12-08
A1B2C3D4E5,456789,59,2023-12-10
A1B2C3D4E5,765432,13,2023-12-12
A1B2C3D4E5,987654,11,2023-12-13
A1B2C3D4E5,765432,81,2023-12-15
A1B2C3D4E5,987654,19,2023-12-19
A1B2C3D4E5,987654,35,2023-12-20
A1B2C3D4E5,456789,90,2023-12-21
A1B2C3D4E5,765432,56,2023-12-22
A1B2C3D4E5,765432,29,2023-12-24
A1B2C3D4E5,765432,82,2023-12-26
A1B2C3D4E5,456789,83,2023-12-27
A1B2C3D4E5,456789,24,2023-12-29
A1B2C3D4E5,123456,64,2023-12-30
A1B2C3D4E5,456789,26,2024-01-01
A1B2C3D4E5,123456,75,2024-01-02
A1B2C3D4E5,765432,74,2024-01-07
A1B2C3D4E5,765432,33,2024-01-08
A1B2C3D4E5,123456,86,2024-01-09
A1B2C3D4E5,123456,90,2024-01-12
A1B2C3D4E5,987654,79,2024-01-13
A1B2C3D4E5,123456,47,2024-01-14
A1B2C3D4E5,123456,11,2024-01-15
A1B2C3D4E5,123456,11,2024-01-16
A1B2C3D4E5,123456,97,2024-01-17
A1B2C3D4E5,123456,95,2024-01-18
A1B2C3D4E5,123456,54,2024-01-19
A1B2C3D4E5,987654,69,2024-01-20
A1B2C3D4E5,456789,71,2024-01-21
A1B2C3D4E5,456789,82,2024-01-22
A1B2C3D4E5,456789,42,2024-01-23
A1B2C3D4E5,456789,78,2024-01-24
A1B2C3D4E5,456789,68,2024-01-25
A1B2C3D4E5,456789,20,2024-01-26
A1B2C3D4E5,456789,58,2024-01-27
A1B2C3D4E5,987654,62,2024-01-29
A1B2C3D4E5,987654,98,2024-02-02
A1B2C3D4E5,456789,51,2024-02-03
A1B2C3D4E5,123456,95,2024-02-04
A1B2C3D4E5,765432,50,2024-02-05
A1B2C3D4E5,456789,77,2024-02-06
A1B2C3D4E5,456789,64,2024-02-07
A1B2C3D4E5,456789,94,2024-02-10
A1B2C3D4E5,765432,79,2024-02-11
A1B2C3D4E5,123456,96,2024-02-13
A1B2C3D4E5,765432,49,2024-02-14
A1B2C3D4E5,456789,40,2024-02-15
A1B2C3D4E5,765432,19,2024-02-17
A1B2C3D4E5,765432,57,2024-02-18
A1B2C3D4E5,765432,25,2024-02-20
A1B2C3D4E5,123456,34,2024-02-21
A1B2C3D4E5,123456,25,2024-02-22
A1B2C3D4E5,765432,83,2024-02-23
A1B2C3D4E5,765432,16,2024-02-24
A1B2C3D4E5,765432,84,2024-02-25
A1B2C3D4E5,123456,25,2024-02-27
A1B2C3D4E5,987654,22,2024-02-28
A1B2C3D4E5,123456,29,2024-03-01
A1B2C3D4E5,123456,68,2024-03-04
A1B2C3D4E5,987654,38,2024-03-06
A1B2C3D4E5,987654,79,2024-03-07
A1B2C3D4E5,987654,24,2024-03-09
A1B2C3D4E5,123456,84,2024-03-10
A1B2C3D4E5,765432,78,2024-03-12
A1B2C3D4E5,987654,69,2024-03-13
A1B2C3D4E5,456789,40,2024-03-14
A1B2C3D4E5,987654,41,2024-03-16
A1B2C3D4E5,456789,97,2024-03-17
A1B2C3D4E5,456789,18,2024-03-18
A1B2C3D4E5,456789,56,2024-03-19
A1B2C3D4E5,765432,39,2024-03-22
A1B2C3D4E5,765432,44,2024-03-25
A1B2C3D4E5,765432,22,2024-03-26
A1B2C3D4E5,765432,55,2024-03-28
A1B2C3D4E5,987654,11,2024-04-03
A1B2C3D4E5,456789,52,2024-04-04
A1B2C3D4E5,765432,30,2024-04-05
A1B2C3D4E5,123456,88,2024-04-06
A1B2C3D4E5,765432,79,2024-04-07
A1B2C3D4E5,123456,31,2024-04-08
A1B2C3D4E5,765432,71,2024-04-10
A1B2C3D4E5,123456,60,2024-04-12
A1B2C3D4E5,987654,91,2024-04-13
A1B2C3D4E5,765432,98,2024-04-14
A1B2C3D4E5,987654,47,2024-04-15
A1B2C3D4E5,123456,35,2024-04-16
A1B2C3D4E5,765432,89,2024-04-17
A1B2C3D4E5,456789,69,2024-04-18
A1B2C3D4E5,987654,25,2024-04-23
A1B2C3D4E5,123456,38,2024-04-24
A1B2C3D4E5,123456,37,2024-04-26
A1B2C3D4E5,123456,38,2024-04-27
A1B2C3D4E5,987654,98,2024-04-30
A1B2C3D4E5,456789,82,2024-05-03
A1B2C3D4E5,456789,18,2024-05-04
A1B2C3D4E5,456789,82,2024-05-08
A1B2C3D4E5,123456,38,2024-05-09
A1B2C3D4E5,456789,55,2024-05-10
A1B2C3D4E5,456789,44,2024-05-11
A1B2C3D4E5,987654,10,2024-05-13
A1B2C3D4E5,456789,29,2024-05-14
A1B2C3D4E5,765432,29,2024-05-15
A1B2C3D4E5,456789,80,2024-05-18
A1B2C3D4E5,765432,72,2024-05-19
A1B2C3D4E5,123456,17,2024-05-20
A1B2C3D4E5,123456,68,2024-05-24
A1B2C3D4E5,123456,98,2024-05-25
A1B2C3D4E5,456789,34,2024-05-26
A1B2C3D4E5,456789,62,2024-05-27
A1B2C3D4E5,765432,56,2024-05-28
A1B2C3D4E5,765432,97,2024-05-29
A1B2C3D4E5,456789,78,2024-06-04
A1B2C3D4E5,987654,82,2024-06-05
A1B2C3D4E5,765432,91,2024-06-06
A1B2C3D4E5,987654,97,2024-06-08
A1B2C3D4E5,765432,62,2024-06-09
A1B2C3D4E5,987654,55,2024-06-10
A1B2C3D4E5,123456,27,2024-06-11
A1B2C3D4E5,123456,44,2024-06-12
A1B2C3D4E5,123456,23,2024-06-13
A1B2C3D4E5,987654,25,2024-06-14
A1B2C3D4E5,987654,10,2024-06-17
A1B2C3D4E5,456789,25,2024-06-18
A1B2C3D4E5,987654,33,2024-06-20
A1B2C3D4E5,765432,64,2024-06-21
A1B2C3D4E5,987654,14,2024-06-22
A1B2C3D4E5,456789,53,2024-06-24
A1B2C3D4E5,987654,59,2024-06-25
A1B2C3D4E5,765432,43,2024-06-26
A1B2C3D4E5,456789,16,2024-07-02
A1B2C3D4E5,765432,28,2024-07-03
A1B2C3D4E5,987654,54,2024-07-04
A1B2C3D4E5,765432,66,2024-07-07
A1B2C3D4E5,765432,66,2024-07-09
A1B2C3D4E5,987654,17,2024-07-13
A1B2C3D4E5,456789,32,2024-07-14
A1B2C3D4E5,765432,14,2024-07-15
A1B2C3D4E5,765432,88,2024-07-16
A1B2C3D4E5,765432,17,2024-07-18
A1B2C3D4E5,765432,75,2024-07-19
A1B2C3D4E5,765432,50,2024-07-21
A1B2C3D4E5,123456,40,2024-07-22
A1B2C3D4E5,123456,93,2024-07-24
A1B2C3D4E5,123456,62,2024-07-25
A1B2C3D4E5,765432,15,2024-07-26
F6G7H8I9J0,765432,65,2023-10-01
F6G7H8I9J0,456789,89,2023-10-02
F6G7H8I9J0,456789,68,2023-10-03
F6G7H8I9J0,987654,76,2023-10-04
F6G7H8I9J0,123456,10,2023-10-05
F6G7H8I9J0,123456,59,2023-10-07
F6G7H8I9J0,123456,58,2023-10-08
F6G7H8I9J0,765432,39,2023-10-09
F6G7H8I9J0,456789,37,2023-10-10
F6G7H8I9J0,987654,51,2023-10-13
F6G7H8I9J0,987654,99,2023-10-14
F6G7H8I9J0,456789,12,2023-10-16
F6G7H8I9J0,456789,42,2023-10-18
F6G7H8I9J0,987654,94,2023-10-20
F6G7H8I9J0,456789,50,2023-10-21
F6G7H8I9J0,456789,16,2023-10-22
F6G7H8I9J0,987654,83,2023-10-23
F6G7H8I9J0,765432,69,2023-10-24
F6G7H8I9J0,987654,89,2023-10-28
F6G7H8I9J0,765432,51,2023-10-29
F6G7H8I9J0,765432,88,2023-10-30
F6G7H8I9J0,765432,73,2023-10-31
F6G7H8I9J0,765432,60,2023-11-01
F6G7H8I9J0,765432,82,2023-11-04
F6G7H8I9J0,456789,71,2023-11-06
F6G7H8I9J0,765432,33,2023-11-08
F6G7H8I9J0,123456,27,2023-11-09
F6G7H8I9J0,123456,41,2023-11-11
F6G7H8I9J0,123456,89,2023-11-13
F6G7H8I9J0,123456,31,2023-11-14
F6G7H8I9J0,765432,47,2023-11-15
F6G7H8I9J0,123456,53,2023-11-16
F6G7H8I9J0,123456,77,2023-11-18
F6G7H8I9J0,123456,95,2023-11-19
F6G7H8I9J0,987654,49,2023-11-21
F6G7H8I9J0,123456,49,2023-11-22
F6G7H8I9J0,123456,33,2023-11-23
F6G7H8I9J0,765432,33,2023-11-25
F6G7H8I9J0,456789,92,2023-11-26
F6G7H8I9J0,987654,76,2023-11-27
F6G7H8I9J0,456789,53,2023-11-29
F6G7H8I9J0,456789,68,2023-11-30
F6G7H8I9J0,456789,35,2023-12-01
F6G7H8I9J0,987654,65,2023-12-02
F6G7H8I9J0,987654,95,2023-12-03
F6G7H8I9J0,987654,10,2023-12-04
F6G7H8I9J0,456789,81,2023-12-05
F6G7H8I9J0,765432,48,2023-12-07
F6G7H8I9J0,765432,68,2023-12-09
F6G7H8I9J0,456789,30,2023-12-10
F6G7H8I9J0,987654,14,2023-12-11
F6G7H8I9J0,456789,64,2023-12-12
F6G7H8I9J0,765432,33,2023-12-13
F6G7H8I9J0,456789,46,2023-12-14
F6G7H8I9J0,765432,29,2023-12-15
F6G7H8I9J0,456789,91,2023-12-19
F6G7H8I9J0,456789,23,2023-12-20
F6G7H8I9J0,987654,40,2023-12-21
F6G7H8I9J0,765432,51,2023-12-23
F6G7H8I9J0,765432,81,2023-12-24
F6G7H8I9J0,456789,18,2023-12-25
F6G7H8I9J0,765432,68,2023-12-27
F6G7H8I9J0,765432,50,2023-12-28
F6G7H8I9J0,123456,24,2023-12-30
F6G7H8I9J0,123456,16,2024-01-01
F6G7H8I9J0,987654,48,2024-01-02
F6G7H8I9J0,123456,25,2024-01-03
F6G7H8I9J0,987654,75,2024-01-04
F6G7H8I9J0,123456,50,2024-01-06
F6G7H8I9J0,987654,25,2024-01-07
F6G7H8I9J0,456789,76,2024-01-08
F6G7H8I9J0,456789,36,2024-01-10
F6G7H8I9J0,987654,20,2024-01-12
F6G7H8I9J0,987654,37,2024-01-14
F6G7H8I9J0,987654,11,2024-01-15
F6G7H8I9J0,765432,36,2024-01-16
F6G7H8I9J0,765432,85,2024-01-18
F6G7H8I9J0,987654,56,2024-01-20
F6G7H8I9J0,765432,25,2024-01-21
F6G7H8I9J0,456789,60,2024-01-22
F6G7H8I9J0,123456,35,2024-01-23
F6G7H8I9J0,456789,80,2024-01-26
F6G7H8I9J0,456789,92,2024-01-27
F6G7H8I9J0,456789,55,2024-01-28
F6G7H8I9J0,456789,24,2024-01-29
F6G7H8I9J0,765432,30,2024-01-30
F6G7H8I9J0,123456,62,2024-01-31
F6G7H8I9J0,987654,84,2024-02-01
F6G7H8I9J0,765432,72,2024-02-02
F6G7H8I9J0,765432,44,2024-02-03
F6G7H8I9J0,765432,39,2024-02-04
F6G7H8I9J0,765432,19,2024-02-05
F6G7H8I9J0,765432,20,2024-02-08
F6G7H8I9J0,987654,66,2024-02-09
F6G7H8I9J0,987654,91,2024-02-10
F6G7H8I9J0,987654,22,2024-02-13
F6G7H8I9J0,123456,67,2024-02-15
F6G7H8I9J0,987654,34,2024-02-16
F6G7H8I9J0,987654,26,2024-02-18
F6G7H8I9J0,987654,55,2024-02-21
F6G7H8I9J0,456789,25,2024-02-22
F6G7H8I9J0,456789,15,2024-02-23
F6G7H8I9J0,456789,36,2024-02-24
F6G7H8I9J0,456789,60,2024-02-25
F6G7H8I9J0,987654,51,2024-02-26
F6G7H8I9J0,456789,57,2024-02-28
F6G7H8I9J0,765432,79,2024-02-29
F6G7H8I9J0,765432,19,2024-03-03
F6G7H8I9J0,456789,97,2024-03-05
F6G7H8I9J0,765432,14,2024-03-06
F6G7H8I9J0,123456,86,2024-03-08
F6G7H8I9J0,456789,25,2024-03-09
F6G7H8I9J0,765432,47,2024-03-10
F6G7H8I9J0,765432,69,2024-03-11
F6G7H8I9J0,456789,59,2024-03-12
F6G7H8I9J0,765432,75,2024-03-13
F6G7H8I9J0,765432,65,2024-03-15
F6G7H8I9J0,765432,68,2024-03-17
F6G7H8I9J0,765432,54,2024-03-19
F6G7H8I9J0,765432,94,2024-03-20
F6G7H8I9J0,123456,43,2024-03-21
F6G7H8I9J0,456789,18,2024-03-25
F6G7H8I9J0,123456,54,2024-03-26
F6G7H8I9J0,987654,57,2024-03-27
F6G7H8I9J0,987654,62,2024-03-28
F6G7H8I9J0,123456,97,2024-03-29
F6G7H8I9J0,123456,54,2024-03-30
F6G7H8I9J0,987654,70,2024-03-31
F6G7H8I9J0,987654,94,2024-04-01
F6G7H8I9J0,987654,67,2024-04-03
F6G7H8I9J0,987654,87,2024-04-05
F6G7H8I9J0,987654,25,2024-04-06
F6G7H8I9J0,987654,63,2024-04-08
F6G7H8I9J0,456789,10,2024-04-12
F6G7H8I9J0,987654,85,2024-04-13
F6G7H8I9J0,456789,96,2024-04-15
F6G7H8I9J0,123456,87,2024-04-16
F6G7H8I9J0,456789,29,2024-04-17
F6G7H8I9J0,456789,94,2024-04-20
F6G7H8I9J0,765432,92,2024-04-21
F6G7H8I9J0,456789,82,2024-04-22
F6G7H8I9J0,765432,65,2024-04-23
F6G7H8I9J0,456789,16,2024-04-25
F6G7H8I9J0,765432,41,2024-04-26
F6G7H8I9J0,987654,90,2024-04-27
F6G7H8I9J0,123456,46,2024-04-28
F6G7H8I9J0,123456,95,2024-04-29
F6G7H8I9J0,123456,61,2024-05-01
F6G7H8I9J0,765432,98,2024-05-02
F6G7H8I9J0,765432,52,2024-05-04
F6G7H8I9J0,123456,65,2024-05-06
F6G7H8I9J0,765432,55,2024-05-08
F6G7H8I9J0,765432,23,2024-05-09
F6G7H8I9J0,765432,51,2024-05-10
F6G7H8I9J0,123456,53,2024-05-11
F6G7H8I9J0,765432,80,2024-05-12
F6G7H8I9J0,123456,46,2024-05-14
F6G7H8I9J0,765432,70,2024-05-16
F6G7H8I9J0,987654,25,2024-05-17
F6G7H8I9J0,987654,40,2024-05-19
F6G7H8I9J0,765432,16,2024-05-20
F6G7H8I9J0,123456,32,2024-05-21
F6G7H8I9J0,123456,53,2024-05-23
F6G7H8I9J0,987654,41,2024-05-25
F6G7H8I9J0,987654,47,2024-05-26
F6G7H8I9J0,987654,30,2024-05-27
F6G7H8I9J0,456789,90,2024-05-28
F6G7H8I9J0,987654,81,2024-05-30
F6G7H8I9J0,456789,12,2024-06-01
F6G7H8I9J0,765432,78,2024-06-02
F6G7H8I9J0,456789,13,2024-06-03
F6G7H8I9J0,456789,86,2024-06-04
F6G7H8I9J0,765432,68,2024-06-06
F6G7H8I9J0,123456,67,2024-06-07
F6G7H8I9J0,765432,71,2024-06-08
F6G7H8I9J0,456789,26,2024-06-09
F6G7H8I9J0,765432,92,2024-06-10
F6G7H8I9J0,987654,73,2024-06-12
F6G7H8I9J0,123456,13,2024-06-13
F6G7H8I9J0,456789,84,2024-06-14
F6G7H8I9J0,123456,76,2024-06-15
F6G7H8I9J0,765432,86,2024-06-16
F6G7H8I9J0,765432,16,2024-06-17
F6G7H8I9J0,765432,96,2024-06-18
F6G7H8I9J0,765432,62,2024-06-19
F6G7H8I9J0,123456,45,2024-06-20
F6G7H8I9J0,765432,20,2024-06-21
F6G7H8I9J0,987654,58,2024-06-22
F6G7H8I9J0,765432,80,2024-06-23
F6G7H8I9J0,123456,53,2024-06-24
F6G7H8I9J0,123456,12,2024-06-26
F6G7H8I9J0,123456,37,2024-06-27
F6G7H8I9J0,987654,25,2024-06-28
F6G7H8I9J0,987654,87,2024-06-30
F6G7H8I9J0,987654,79,2024-07-01
F6G7H8I9J0,456789,33,2024-07-02
F6G7H8I9J0,987654,31,2024-07-03
F6G7H8I9J0,987654,90,2024-07-04
F6G7H8I9J0,765432,54,2024-07-05
F6G7H8I9J0,765432,18,2024-07-06
F6G7H8I9J0,456789,59,2024-07-07
F6G7H8I9J0,456789,45,2024-07-08
F6G7H8I9J0,765432,92,2024-07-10
F6G7H8I9J0,765432,20,2024-07-11
F6G7H8I9J0,765432,69,2024-07-12
F6G7H8I9J0,765432,56,2024-07-13
F6G7H8I9J0,456789,51,2024-07-15
F6G7H8I9J0,765432,30,2024-07-16
F6G7H8I9J0,765432,97,2024-07-17
F6G7H8I9J0,765432,63,2024-07-18
F6G7H8I9J0,765432,42,2024-07-19
F6G7H8I9J0,765432,41,2024-07-21
F6G7H8I9J0,123456,41,2024-07-23
F6G7H8I9J0,123456,78,2024-07-24
F6G7H8I9J0,765432,41,2024-07-26
